x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,horizontal,vertical,clockwise circle,counterclockwise circle,nothing
-13,-1,-11,-1,-11,-1,-10,0,-8,-1,-4,0,-2,0,-2,0,0,-1,4,0,5,0,7,0,10,0,12,0,16,1,1,0,0,0,0
18,4,12,2,9,2,8,1,5,0,5,0,4,-1,3,0,2,-1,-3,0,-4,0,-8,0,-10,0,-16,-1,-20,-2,1,0,0,0,0
24,1,22,1,20,0,18,0,16,0,10,1,7,0,4,1,-2,1,-10,0,-15,0,-19,-1,-21,-1,-28,0,-33,0,1,0,0,0,0
34,6,29,5,22,4,17,2,16,2,10,2,3,-2,-2,-2,-7,-1,-11,-1,-18,-3,-19,-2,-22,-3,-23,-7,-24,-7,1,0,0,0,0
55,4,54,1,54,1,32,1,30,2,25,5,13,0,-21,0,-25,-2,-28,-3,-33,-1,-35,-1,-38,-3,-41,-3,-45,-3,1,0,0,0,0
21,-3,20,-3,15,-2,13,-2,6,-1,3,-2,3,-1,1,-2,-3,1,-5,1,-9,0,-12,1,-15,3,-16,3,-17,3,1,0,0,0,0
11,2,10,2,9,2,7,1,5,1,4,0,2,0,1,-1,1,0,-2,0,-4,0,-6,-1,-7,-1,-14,-3,-17,-3,1,0,0,0,0
15,1,15,1,14,0,13,1,12,0,7,1,6,1,2,1,0,1,-6,0,-10,-1,-12,-1,-15,0,-18,0,-20,0,1,0,0,0,0
-11,1,-10,1,-9,1,-8,0,-6,1,-4,1,-3,1,-2,0,0,-1,2,-1,5,-1,7,-1,11,-3,12,-2,15,-1,1,0,0,0,0
-7,0,-6,0,-6,0,-5,0,-5,0,-5,0,-4,0,-1,0,0,0,0,0,2,1,5,0,7,-1,10,-1,12,0,1,0,0,0,0
-27,1,-24,2,-21,0,-16,0,-11,1,-9,-2,-4,0,6,2,7,3,9,3,12,-1,14,-3,18,-2,21,-1,27,0,1,0,0,0,0
